Names,Runs,Innings,Average
Colin de Grandhomme,443,21,29.53
Trent Boult,144,35,9.60
Adam Milne,168,17,16.80
Mitchell McClenaghan,108,14,27.00
James Neesham,1015,42,30.75
Colin Munro,1146,47,24.91
Hamish Rutherford,15,4,3.75
Luke Ronchi2,1321,66,23.17
Corey Anderson,1109,45,27.72
Anton Devcich,195,11,17.72
Matt Henry,193,16,19.30
Mitchell Santner,826,46,27.53
Ben Wheeler,58,4,-
Andrew Mathieson,0,1,-
Ish Sodhi,62,12,6.20
George Worker,272,10,34.00
Henry Nicholls,1029,39,35.48
Lockie Ferguson,58,13,8.28
Scott Kuggeleijn,11,1,-
Seth Rance,-,-,-
Todd Astle,79,5,26.33
Mark Chapman3,9,3,3.00
Tim Seifert,33,2,16.50
" Aqib Ilyas
",11,1,11.00
" Bilal Khan
",0,1,0.00
" Fayyaz Butt
",1,1,1.00
" Jatinder Singh
",0,1,0.00
" Kaleemullah
",0,1,0.00
" Khawar Ali
",3,1,3.00
" Khurram Nawaz
",17,1,–
" Mohammad Nadeem
",5,1,5.00
" Sandeep Goud
",0,1,0.00
" Suraj Kumar 
",27,1,27.00
" Zeeshan Maqsood 
",12,1,12.00
Asif Iqbal,330,8,55.00
Asif Masood,10,3,5.00
Intikhab Alam,17,2,8.50
Majid Khan,786,22,37.42
Mushtaq Mohammad,209,9,34.83
Nasim-ul-Ghani,1,1,1.00
Sadiq Mohammad,383,19,21.27
Saleem Altaf,25,2,25.00
Sarfraz Nawaz,221,31,9.60
Wasim Bari,221,26,17.00
Wasim Raja,782,45,22.34
Imran Khan,3709,151,33.41
Zaheer Abbas,2572,60,47.62
Naseer Malik,-,1,-
Javed Miandad,7381,218,41.70
Pervez Mir,26,3,13.00
Mohsin Khan,1877,75,26.81
Aamer Hameed,-,-,-
Hasan Jamil,111,5,22.20
Liaqat Ali,7,1,7.00
Mudassar Nazar,2653,115,25.26
Shafiq Ahmed,41,3,13.66
Haroon Rasheed,166,10,20.75
Iqbal Qasim,39,7,6.50
Sikander Bakht,31,11,7.75
Arshad Pervez,11,2,5.50
Naeem Ahmed,0,1,-
Azmat Rana,42,2,42.00
Mansoor Akhtar,593,35,17.44
Mohammad Nazir,4,3,-
Taslim Arif,28,2,14.00
Ashraf Ali,69,9,17.25
Ijaz Faqih,197,19,12.31
Rashid Khan,110,15,13.75
Saleem Pervez,18,1,18.00
Tahir Naqqash,210,23,15.00
Rizwan-uz-Zaman,20,3,6.66
Saleem Malik,7170,256,32.88
Jalal-ud-din,5,2,2.50
Saleem Yousuf,768,62,17.86
Tauseef Ahmed,116,25,10.54
Shahid Mahboob,119,6,23.80
Abdul Qadir,641,68,15.26
Azeem Hafeez,45,10,15.00
Qasim Umar,642,31,22.92
Saadat Ali,184,7,30.66
Anil Dalpat,87,10,12.42
Naved Anjum,113,12,12.55
Manzoor Elahi,741,46,22.45
Sajid Ali,130,12,10.83
Zakir Khan,27,5,27.00
Shoaib Mohammad,1269,58,24.40
Wasim Akram,3717,280,16.52
Mohsin Kamal,27,6,9.00
Masood Iqbal,2,1,2.00
Rameez Raja,5841,197,32.09
Zulqarnain Zaidi,18,6,6.00
Saleem Jaffar,36,13,18.00
Asif Mujtaba,1068,55,26.04
Ijaz Ahmed,6564,232,32.33
Younis Ahmed,84,2,42.00
Zahid Ahmed,3,2,3.00
Shakeel Khan,-,1,-
Haafiz Shahid,11,3,11.00
Aamer Malik,556,23,25.27
Moin-ul-Atiq,199,5,39.80
Aaqib Javed,267,51,10.68
Saeed Anwar,8823,244,39.21
Mushtaq Ahmed,399,76,9.50
Shahid Saeed,141,10,14.10
Waqar Younis,969,139,10.30
Sohail Fazal,56,2,28.00
Akram Raza,193,25,17.54
Maqsood Rana,5,1,5.00
Nadeem Ghauri,14,3,14.00
Sajjad Akbar,5,1,5.00
Mansoor Rana,15,2,7.50
Zahid Fazal,348,18,23.20
Moin Khan,3266,183,23.00
Aamer Sohail,4780,155,31.86
Inzamam-ul-Haq1,11701,348,39.53
Iqbal Sikander,1,1,-
Wasim Haider,26,2,13.00
Tanvir Mehdi,-,1,-
Rashid Latif,1709,117,19.42
Ata-ur-Rehman,34,13,4.85
Arshad Khan,133,29,12.09
Ghulam Ali,53,3,17.66
Basit Ali,1265,43,34.18
Aamer Nazir,13,3,13.00
Nadeem Khan,2,1,2.00
Aamer Hanif,89,4,44.50
Irfan Bhatti,-,0,-
Ashfaq Ahmed,-,0,-
Kabir Khan,10,5,10.00
"Shakeel Ahmed, Jr.",61,2,30.50
Naeem Ashraf,24,2,24.00
Zafar Iqbal,48,6,8.00
Javed Qadeer,12,1,12.00
Mahmood Hamid,1,1,1.00
Mohammad Akram,14,9,7.00
Saleem Elahi,1579,47,36.72
Saqlain Mushtaq,711,98,11.85
Saeed Azad,65,4,16.25
Shadab Kabir,0,3,0.00
Shahid Anwar,37,1,37.00
Shahid Nazir,25,8,25.00
Azhar Mahmood,1521,110,18.10
Shahid Afridi1,8064,369,23.57
Hasan Raza,242,13,18.61
Abdul Razzaq1,5080,228,29.70
Azam Khan,116,5,23.20
Zahoor Elahi,297,14,22.84
Mohammad Wasim,543,25,23.60
Mohammad Zahid,15,4,7.50
Mujahid Jamshed,27,3,13.50
Ijaz Ahmed jnr,3,1,-
Mohammad Hussain,154,12,30.80
Akhtar Sarfraz,66,4,16.50
Manzoor Akhtar,97,4,24.25
Fazl-e-Akbar,7,1,7.00
"Mohammad Yousuf1, 2",9720,273,41.71
Shoaib Akhtar1,394,84,8.95
Asif Mahmood,14,2,7.00
Wajahatullah Wasti,349,15,23.26
Imran Nazir,1895,79,24.61
Shabbir Ahmed,10,11,1.66
Shoaib Malik,7526,255,35.00
Imran Abbas,29,2,14.50
Yasir Arafat,74,8,14.80
Younus Khan,7240,254,31.34
Faisal Iqbal,314,16,22.42
Irfan Fazil,15,1,15.00
Atiq-uz-Zaman,34,3,17.00
Imran Farhat,1719,58,30.69
Humayun Farhat,60,3,20.00
Mohammad Sami,314,46,11.62
Kashif Raza,2,1,-
Taufeeq Umar,504,22,24.00
Danish Kaneria,12,10,6.00
Naved Latif,262,11,23.81
Misbah-ul-Haq,5122,149,43.40
Kamran Akmal,3236,138,26.09
Mohammad Hafeez,6361,208,32.95
Umar Gul,457,65,9.72
Rana Naved-ul-Hasan,524,51,15.87
Yasir Hameed,2028,56,36.87
Faisal Athar,9,1,9.00
Junaid Zia,2,2,2.00
Salman Butt,2185,60,38.33
Bazid Khan,131,5,26.20
Iftikhar Anjum,234,34,15.60
Mohammad Khalil,0,1,-
Mohammad Asif1,34,11,5.50
Abdur Rehman,142,23,8.35
Fawad Alam,966,36,40.25
Najaf Shah,0,1,0.00
Sohail Tanvir,399,40,13.75
Sarfaraz Ahmed,2128,80,34.88
Nasir Jamshed,1418,48,31.51
Samiullah Khan,-,0,-
Kamran Hussain,28,1,-
Khalid Latif,147,5,29.40
Sohail Khan,25,6,5.00
Abdur Rauf,-,0,-
Khurram Manzoor,236,7,33.71
Rizwan Ahmed,-,0,-
Wahab Riaz,589,56,13.69
Naumanullah,5,1,5.00
Mansoor Amjad,5,1,5.00
Saeed Ajmal,324,70,7.04
Ahmed Shehzad,2605,81,32.56
Mohammad Amir,352,27,19.55
Umar Akmal,3194,110,34.34
Shahzaib Hasan,100,3,33.33
Umar Amin,271,16,18.06
Asad Shafiq,1336,58,24.74
Mohammad Irfan,48,33,4.00
Zulqarnain Haider,48,4,24.00
Hammad Azam,80,7,16.00
Junaid Khan,68,31,4.85
Mohammad Salman,22,3,11.00
Tanvir Ahmed,18,1,18.00
Usman Salahuddin,13,2,6.50
Azhar Ali,1845,53,36.90
Adnan Akmal,62,4,20.66
Aizaz Cheema,26,6,8.66
Yasir Shah,127,13,18.14
Rahat Ali,8,7,2.66
Ehsan Adil,27,4,9.00
Asad Ali,13,2,6.50
Haris Sohail,1320,33,47.14
Sohaib Maqsood,725,24,39.25
Anwar Ali,321,16,29.18
Bilawal Bhatti,89,7,14.83
Sharjeel Khan,812,25,32.48
Mohammad Talha,0,1,0.00
Zulfiqar Babar,35,5,17.50
Raza Hasan,0,1,0.00
Mohammad Rizwan,705,28,33.57
Saad Nasim,99,3,49.50
Sami Aslam,78,4,19.50
Babar Azam,2739,62,51.67
Imad Wasim,778,33,40.94
Aamer Yamin,95,3,95.00
Bilal Asif,40,3,13.33
Iftikhar Ahmed,8,2,4.00
Zafar Gohar,15,1,15.00
Hasan Ali,237,26,13.16
Mohammad Nawaz,199,12,22.11
Shadab Khan,294,16,29.40
Fakhar Zaman,1642,36,51.31
Faheem Ashraf,162,15,12.46
Rumman Raees,27,4,9.00
Imam-ul-Haq,1387,28,60.30
Usman Shinwari,6,4,2.00
Asif Ali,342,12,31.09
Shaheen Afridi,41,6,20.50
Hussain Talat,2,1,2.00
Mohammad Abbas,-,-,-
Shan Masood,111,5,22.20
Mohammad Hasnain,28,2,14.00
Abid Ali,117,3,39.00
Saad Ali,11,2,5.50
"Charles Amini
",126,7,21.00
"Chris Amini 
",3,2,–
"Mahuru Dai
",454,18,28.37
"Willie Gavera
",4,4,–
"Geraint Jones
",47,2,23.50
"Vani Morea
",313,13,26.08
"Pipi Raho
",–,1,–
"Lega Siaka
",352,17,20.70
"Tony Ura
",523,18,29.05
"Assad Vala 
",383,19,20.15
"Jack Vare 
",81,9,10.12
"Norman Vanua
",178,15,19.77
"Dogodo Bau 
",170,10,18.88
"Sese Bau
",342,17,21.37
"Hiri Hiri
",26,3,13.00
"Chad Soper
",172,13,15.63
"John Reva
",62,9,10.33
"Alei Nao
",85,12,42.50
"Nosaina Pokana
",9,6,2.25
"Kiplin Doriga 
",139,6,34.75
"Damien Ravu
",6,5,2.00
"Jason Kila
",34,2,17.00
"Simon Atai
",–,1,–
"Michael Allingham
",11,3,3.66
" Asim Butt
",23,5,5.75
"John Blain
",284,33,14.94
"James Brinkley
",52,5,10.40
"Alec Davies 
",83,5,20.75
"Nick Dyer
",3,5,3.00
"Gavin Hamilton 
","1,231",38,35.17
"Bruce Patterson
",10,3,3.33
"Ian Philip
",20,3,6.66
"George Salmond 
",57,5,11.40
"Mike Smith
",19,5,3.80
"Ian Stanger
",50,5,10.00
"Greig Williamson
",11,2,5.50
"Paul Hoffmann
",85,18,7.72
"Dougie Lockhart 
",218,14,24.22
"Ross Lyons
",90,25,22.50
"Neil McCallum
","1,002",43,27.83
"Neil MacRae
",10,2,5.00
"Dewald Nel
",31,19,15.50
"Colin Smith 
",432,27,19.63
"Ryan Watson 
",956,35,30.83
"Dougie Brown
",220,16,15.71
"Omer Hussain
",63,8,9.00
"Navdeep Poonia
",237,21,11.28
"Craig Wright 
",240,20,16.00
"Fraser Watts
",974,36,28.64
"Glenn Rogers
",81,13,16.20
"Majid Haq
",566,54,16.64
"Gordon Drummond 
",240,30,18.46
"Richie Berrington
","1,630",71,27.16
"Gordon Goudie
",80,16,10.00
"Qasim Sheikh
",63,7,10.50
"Kyle Coetzer 
","2,082",52,43.37
"Calum MacLeod
",1954,59,38.31
"Moneeb Iqbal
",192,13,24.00
"Jan Stander
",44,5,11.00
"Stuart Chalmers
",9,2,–
"Alasdair Evans
",95,33,11.87
"Marc Petrie 
",3,4,1.50
"Josh Davey
",471,29,22.42
"Gregor Maiden 
",84,7,21.00
"Preston Mommsen 
","1,115",44,30.97
"Matthew Parker
",59,10,9.83
"Ollie Hairs
",68,5,13.60
"Ryan Flannigan
",0,1,0.00
"Safyaan Sharif
",224,38,14.00
"Craig Wallace 
",366,24,18.30
"Matt Machan
",734,23,33.36
"David Murphy 
",58,8,11.60
"Iain Wardlaw
",21,22,3.50
"Robert Taylor
",154,15,14.00
"Neil Carter
",0,3,0.00
"Freddie Coleman
",211,16,15.07
"Hamish Gardiner
",262,11,23.81
"Matthew Cross 
",952,45,23.80
"Michael Leask
",443,31,23.31
"Bradley Wheal
",16,13,4.00
"Con de Lange
",123,13,20.50
"Ruaidhri Smith
",10,2,10.00
"Chris Sole
",16,11,3.20
"Mark Watt
",138,20,17.25
"George Munsey
",470,18,31.33
"Stuart Whittingham
",6,4,6.00
"Michael Jones
",194,5,38.80
"Tom Sole
",37,7,9.25
"Scott Cameron
",9,2,9.00
"Dylan Budge
",11,1,11.00
Jimmy Cook,67,4,16.75
Allan Donald,95,40,4.31
Andrew Hudson,2559,88,29.41
Peter Kirsten,1293,40,38.02
Adrian Kuiper,539,23,33.68
Brian McMillan,841,52,23.36
Clive Rice,26,2,13.00
Dave Richardson,868,77,19.72
Tim Shaw,26,6,13.00
Richard Snell,322,28,16.10
Kepler Wessels1,1627,54,32.54
Clive Eksteen,6,2,-
Craig Matthews,141,22,10.84
Mandy Yachad,31,1,31.00
Hansie Cronje,5565,175,38.64
Meyrick Pringle,48,8,9.60
Jonty Rhodes,5935,220,35.11
Tertius Bosch,-,-,-
Omar Henry,20,3,10.00
Mark Rushmere,78,4,19.50
Corrie van Zyl,3,2,3.00
Dave Callaghan,493,25,25.94
Fanie de Villiers,170,36,8.09
Brett Schultz,-,-,-
Daryll Cullinan,3860,133,32.99
Errol Stewart,61,6,15.25
Pat Symcox,694,54,16.92
Gary Kirsten,6798,185,40.95
Dave Rundle,6,2,3.00
Eric Simons,217,18,15.50
Derek Crookes,296,23,14.80
Michael Rindel,575,22,27.38
Steven Jack,7,2,3.50
Nicky Boje2,1410,69,27.64
Gerhardus Liebenberg,94,4,23.50
Rudi Steyn,4,1,4.00
Paul Adams,66,9,16.50
Jacques Kallis4,11550,309,45.11
Shaun Pollock4,3193,196,25.34
Lance Klusener,3576,137,41.10
Steve Palframan,55,4,13.75
Herschelle Gibbs,8094,240,36.13
Rudi Bryson,32,4,32.00
Adam Bacher,270,13,20.76
Louis Koen,82,5,16.40
Mark Boucher2,3549,167,27.94
Makhaya Ntini3,199,46,8.65
Steve Elworthy,100,16,12.50
Roger Telemachus,73,15,6.08
Nantie Hayward,12,5,3.00
Dale Benkenstein,305,20,17.94
Alan Dawson,69,7,23.00
Henry Williams,8,2,8.00
Andrew Hall,905,56,21.04
Victor Mpitsang,1,1,-
Boeta Dippenaar2,3330,89,44.00
Pieter Strydom,48,8,9.60
David Terbrugge,5,2,5.00
Neil McKenzie,1688,55,37.51
Charl Willoughby,-,2,-
Nic Pothas,24,1,24.00
Shafiek Abrahams,16,1,-
Justin Kemp2,1371,60,32.64
Justin Ontong2,184,15,14.15
André Nel,127,22,12.70
Claude Henderson,-,-,-
Charl Langeveldt,73,21,6.63
Graeme Smith2,6989,193,38.19
Jon Kent,-,-,-
Robin Peterson,556,41,20.59
Martin van Jaarsveld,124,7,20.66
Ashwell Prince2,940,38,34.81
Monde Zondeki2,4,2,-
Jacques Rudolph2,1157,37,37.32
Morné van Wyk,425,17,26.56
Albie Morkel2,760,41,24.51
JP Duminy,5047,175,37.38
AB de Villiers2,9427,213,54.17
Andrew Puttick,0,1,0.00
Johan Botha2,98,6,32.66
Garnett Kruger,-,2,-
Dale Steyn2,361,49,9.75
Johan van der Wath,85,7,17.00
Loots Bosman2,299,11,27.18
Alviro Petersen,504,19,28.00
Vernon Philander,151,19,12.58
Thandi Tshabalala,2,1,-
Gulam Bodi,83,2,41.50
Morné Morkel2,239,45,8.53
Hashim Amla,7910,171,49.74
Paul Harris,-,0,-
Johann Louw,23,1,23.00
Vaughn van Jaarsveld,9,2,4.50
Wayne Parnell,508,38,21.16
Lonwabo Tsotsobe,56,21,6.87
Roelof van der Merwe,39,7,9.75
Ryan McLaren,485,41,18.65
David Miller,2922,106,38.96
Colin Ingram,843,29,32.42
Rusty Theron,5,1,5.00
Faf du Plessis,5120,128,46.54
Imran Tahir,146,32,8.11
Marchant de Lange,-,0,-
Dean Elgar,104,7,17.33
Quinton de Kock,4602,106,45.56
Rory Kleinveldt,105,7,15.00
Farhaan Behardien,1074,49,30.68
Aaron Phangiso,81,13,7.36
Kyle Abbott,76,13,8.44
Chris Morris,393,23,19.65
Henry Davids,8,2,4.00
Rilee Rossouw,1239,35,38.71
Mthokozisi Shezi,-,0,-
Kagiso Rabada,201,24,14.35
David Wiese,102,6,20.40
Tabraiz Shamsi,0,3,0.00
Temba Bavuma,161,2,80.50
Andile Phehlukwayo,416,25,32.00
Dwaine Pretorius,132,8,18.85
Keshav Maharaj,25,2,12.50
Dane Paterson,-,0,-
Aiden Markram,503,18,29.58
Willem Mulder,74,8,14.80
Khaya Zondo,142,5,35.50
Heinrich Klaasen,251,13,22.81
Lungi Ngidi,40,7,20.00
Reeza Hendricks,455,18,26.76
Junior Dala,8,2,8.00
Christiaan Jonker,31,2,15.50
Duanne Olivier,-,-,-
Rassie van der Dussen,353,8,88.25
Beuran Hendricks,2,1,-
Anrich Nortje,8,1,8.00
Somachandra de Silva,371,29,19.52
Ranjit Fernando,47,3,15.66
David Heyn,3,2,1.50
Lalith Kaluperuma,33,3,–
Duleep Mendis,1527,74,23.49
Tony Opatha,29,3,9.66
Mevan Pieris,19,3,9.50
Anura Ranasinghe,153,8,21.85
Anura Tennekoon,137,4,34.25
Michael Tissera,78,3,26.00
Bandula Warnapura,180,12,15.00
Sunil Wettimuny,136,3,68.00
Ajit de Silva,9,4,4.50
Stanley de Silva,10,1,10.00
Roy Dias,1573,55,31.46
Sunil Jayasinghe,1,1,1.00
Sudath Pasqual,24,2,24.00
Ranjan Gunatilleke,–,–,–
Ranjan Madugalle,950,56,18.62
Ashantha de Mel,466,41,14.56
Rohan Jayasekera,17,1,17.00
Sidath Wettimuny,786,33,24.56
Mahes Goonatilleke,31,4,31.00
Arjuna Ranatunga,7456,255,35.84
Ravi Ratnayeke,824,69,14.98
Roger Wijesuriya,18,3,18.00
Vinothen John,84,19,9.33
Rumesh Ratnayake,612,55,16.54
Guy de Alwis,401,27,21.10
Susil Fernando,101,5,20.20
Yohan Goonasekera,69,3,23.00
Mithra Wettimuny,2,1,2.00
Sridharan Jeganathan,25,4,8.33
Granville de Silva,9,2,9.00
Brendon Kuruppu,1022,52,20.03
Athula Samarasekera,844,39,22.81
Aravinda de Silva,9284,296,34.90
Uvais Karnain,229,17,19.08
Amal Silva,441,20,22.05
Marlon Vonhagt,8,1,8.00
Saliya Ahangama,–,–,–
Asanka Gurusinha,3902,143,28.27
Don Anurasiri,62,18,10.33
Ashley de Silva,12,2,6.00
Roshan Mahanama,5162,198,29.49
Gamini Perera,–,–,–
Keerthi Ranasinghe,55,3,18.33
Kaushik Amalean,15,3,7.50
Champaka Ramanayake,210,35,10.00
Graeme Labrooy,249,36,8.58
Hashan Tillakaratne,3789,168,29.60
Asoka de Silva,138,20,9.85
Sanath Kaluperuma,11,2,5.50
Ranjith Madurasinghe,21,6,10.50
Kapila Wijegunawardene,20,12,2.85
Nilantha Ratnayake,–,–,–
Lalithamana Fernando,8,1,8.00
Sanath Jayasuriya1,13364,429,32.51
Marvan Atapattu,8529,259,37.57
Dammika Ranatunga,49,4,12.25
Romesh Kaluwitharana,3711,181,22.22
Jayananda Warnaweera,1,3,–
Charith Senanayake,126,7,18.00
Pramodya Wickramasinghe,344,64,8.60
Chandika Hathurusingha,669,33,20.90
Ruwan Kalpage,844,69,20.58
Dulip Liyanage,144,11,16.00
Gamini Wickremasinghe,2,1,2.00
Nishantha Ranatunga,0,1,0.00
Muttiah Muralitharan2,674,161,6.87
Pubudu Dassanayake,85,10,10.62
Hemantha Wickramaratne,4,2,2.00
Dulip Samaraweera,91,4,22.75
Nisal Fernando,22,2,–
Chaminda Vaas1,2018,219,13.72
Aruna Gunawardene,2,1,2.00
Ravindra Pushpakumara,36,9,9.00
Upul Chandana,1627,111,17.30
Manjula Munasinghe,13,4,4.33
Ajith Weerakkody,2,1,2.00
Sanjeeva Ranatunga,253,11,23.00
Kumar Dharmasena,1222,87,22.62
Jayantha Silva,1,1,–
Janak Gamage,8,2,–
Chaminda Mendis,3,1,–
Chamara Dunusinghe,1,1,1.00
Eric Upashantha,49,8,7.00
Sajeewa de Silva,39,19,6.50
Nuwan Zoysa,343,47,13.19
Lanka de Silva,161,6,53.66
Russel Arnold,3950,155,35.26
Mahela Jayawardene1,12381,413,33.01
Avishka Gunawardene,1708,61,28.46
Naveed Nawaz,31,3,15.50
Suresh Perera,195,13,17.72
Niroshan Bandaratilleke,0,1,0.00
Thilan Samaraweera,862,42,27.80
Ruchira Perera,8,7,1.60
Hemantha Boteju,3,2,3.00
Indika de Saram,183,13,16.63
Chamara Silva,1587,62,28.85
Tillakaratne Dilshan,10290,303,39.27
Indika Gallage,17,2,17.00
Kaushalya Weeraratne,160,9,20.00
Kumar Sangakkara2,13975,373,41.96
Dilhara Fernando1,239,61,9.19
Akalanka Ganegama,7,2,3.50
Charitha Buddhika,29,10,7.25
Prabath Nissanka,53,13,6.62
Hasantha Fernando,43,5,21.50
Chamila Gamage,7,2,7.00
Pulasthi Gunaratne,36,8,7.20
Jehan Mubarak,704,37,22.70
Prasanna Jayawardene,27,5,5.40
Kaushal Lokuarachchi,210,18,14.00
Dharshana Gamage,3,2,3.00
Dinusha Fernando,–,–,–
Nuwan Kulasekara,1327,123,15.43
Saman Jayantha,400,17,26.66
Rangana Herath,140,30,9.33
Farveez Maharoof,1113,75,19.52
Thilina Kandamby,870,36,29.00
Lasith Malinga,550,113,7.05
Dilhara Lokuhettige,77,8,9.62
Upul Tharanga1,6941,222,33.85
Pradeep Jayaprakashdaran,–,–,–
Malinga Bandara,160,17,12.30
Michael Vandort,48,1,48.00
Chamara Kapugedera,1624,84,21.09
Dhammika Prasad,129,12,21.50
Ishara Amerasinghe,6,4,–
Malinda Warnapura,35,3,11.66
Dilruwan Perera,152,12,12.66
Ajantha Mendis,188,42,8.17
Mahela Udawatte,257,9,28.55
Thilan Thushara,392,27,18.66
Angelo Mathews,5381,174,42.03
Chanaka Welegedara,4,3,4.00
Suraj Randiv,280,18,17.50
Suranga Lakmal,217,45,8.68
Thisara Perera,2147,121,20.44
Muthumudalige Pushpakumara,7,1,–
Lahiru Thirimanne,2990,98,35.17
Dinesh Chandimal,3599,132,32.42
Jeevan Mendis,617,41,19.90
Dimuth Karunaratne,267,14,20.53
Shaminda Eranga,34,11,11.33
Seekkuge Prasanna,421,37,12.38
Kosala Kulasekara,38,3,12.66
Sachithra Senanayake,290,33,13.18
Sajeewa Weerakoon,–,–,–
Isuru Udana,125,4,41.66
Nuwan Pradeep,27,15,5.40
Akila Dananjaya,283,26,13.47
Kusal Perera,2283,83,29.26
Angelo Perera,39,3,13.00
Ashan Priyanjan,420,20,23.33
Kithuruwan Vithanage,75,6,15.00
Chathuranga de Silva,94,7,15.66
Lahiru Gamage,4,5,2.00
Niroshan Dickwella,1571,49,32.72
Dushmantha Chameera,93,14,13.28
Tharindu Kaushal,0,1,0.00
Milinda Siriwardana,513,23,23.31
Sachith Pathirana,332,14,25.53
Danushka Gunathilaka,1102,35,32.41
Shehan Jayasuriya,83,7,13.83
Jeffrey Vandersay,71,7,11.83
Dhananjaya de Silva,688,31,25.48
Kusal Mendis,1692,61,28.67
Dasun Shanaka,327,16,21.80
Chaminda Bandara,1,1,–
Amila Aponso,10,7,3.33
Lakshan Sandakan,31,11,4.42
Avishka Fernando,145,6,24.16
Asela Gunaratne,575,25,27.38
Sandun Weerakkody,73,3,24.33
Lahiru Kumara,16,5,8.00
Lahiru Madushanka,14,4,4.66
Wanidu Hasaranga,63,7,10.50
Asitha Fernando,–,–,–
Vishwa Fernando,30,8,15.00
Dilshan Munaweera,15,2,7.50
Malinda Pushpakumara,11,2,5.50
Sadeera Samarawickrama,132,6,22.00
Shehan Madushanka,7,1,7.00
Prabath Jayasuriya,11,2,11.00
Kasun Rajitha,0,2,0.00
Oshada Fernando,127,5,25.40
Kamindu Mendis,17,2,17.00
Priyamal Perera,33,2,16.50
" Arshad Laeeq
",101,6,20.20
" Azhar Saeed
",61,7,8.71
" Imtiaz Abbasi 
",12,7,6.00
" Mazhar Hussain
",179,7,25.57
"Vijay Mehra
",92,6,18.40
" Mohammad Ishaq
",98,5,24.50
"Riaz Poonawala
",44,2,22.00
" Saleem Raza
",159,6,26.50
"Johanne Samarasekera
",124,7,31.00
" Sohail Butt
",8,2,8.00
" Sultan Zarawani 
",26,7,4.33
"Shaukat Dukanwala
",84,5,42.00
" Mohammad Aslam
",38,4,9.50
"Ganesh Mylvaganam
",36,3,12.00
" Shehzad Altaf
",–,2,–
" Saeed-Al-Saffar
",–,1,–
" Abdul Rehman 
",1,1,1.00
" Ali Asad
",21,2,21.00
" Arshad Ali
",54,4,13.50
" Asghar Ali 
",14,2,7.00
" Asim Saeed
",12,2,6.00
" Fahad Usman
",9,2,4.50
" Khurram Khan 
",582,16,41.57
" Mohammad Tauqir 
",95,11,13.57
" Naeemuddin Aslam
",12,2,6.00
" Rizwan Latif
",0,1,0.00
" Syed Maqsood
",18,2,9.00
" Ramveer Rai
",39,1,39.00
" Sameer Zia
",2,1,–
" Amjad Ali 
",520,17,30.58
" Amjad Javed
",239,15,19.91
"Indika Batuwitarachchi
",14,2,7.00
" Fahad Alhashmi
",0,5,0.00
" Saqib Ali 
",84,5,21.00
"Vikrant Shetty
",16,2,8.00
"Shadeep Silva
",7,1,7.00
" Zahid Shah
",11,2,–
" Alawi Shukri
",1,1,1.00
" Aman Ali
",0,1,0.00
"Nizel Fernandes
",5,1,5.00
" Ahmed Raza 
",232,25,12.88
"Manjula Guruge
",16,7,–
" Kamran Shazad
",22,4,11.00
"Swapnil Patil 
",263,13,26.30
" Rohan Mustafa 
",662,31,21.35
" Salman Faris
",43,3,14.33
" Shaiman Anwar
","1,219",40,31.25
" Fayyaz Ahmed
",47,3,47.00
" Irfan Sajid
",2,1,2.00
" Krishna Chandran
",134,12,16.75
" Mohammad Naveed 
",397,39,16.54
" Mohammad Shahzad
",190,6,31.66
"Andri Berenger
",205,10,20.50
" Salman Farooq
",–,1,–
" Nasir Aziz
",82,5,27.33
" Saqlain Haider 
",58,5,14.50
" Abdul Shakoor 
",54,3,18.00
" Asif Iqbal
",8,1,8.00
" Yodhin Punja
",1,1,1.00
" Laxman Sreekumar
",61,4,15.25
" Umair Ali
",20,2,10.00
" Zaheer Maqsood
",13,2,–
" Qadeer Ahmed
",9,11,4.50
" Usman Mushtaq
",3,1,3.00
" Muhammad Usman
",618,27,24.72
" Rameez Shahzad
",691,15,53.15
" Adnan Mufti
",330,18,27.50
" Ghulam Shabber 
",500,23,21.73
" Imran Haider
",58,20,8.28
" Mohammed Qasim
",94,5,18.80
" Zahoor Khan
",48,15,6.85
" Ashfaq Ahmed
",344,16,21.50
" Mohammad Boota 
",191,9,23.87
" Amir Hayat
",31,9,10.33
" Chirag Suri
",196,11,17.81
" Fahad Nawaz
",2,2,1.00
"Chundangapoyil Rizwan
",153,5,30.60
" Sultan Ahmed
",18,2,9.00
"Aijaz Ali
",5,2,2.50
"Rohan Alexander
",34,2,17.00
"Jignesh Desai
",16,1,16.00
"Howard Johnson
",9,2,9.00
"Mark Johnson 
",20,2,10.00
"Clayton Lambert[A 3]
",39,1,39.00
"Steve Massiah
",23,2,11.50
"Rashid Zia
",9,2,4.50
"Tony Reid
",8,2,4.00
"Leon Romero
",1,2,0.50
"Richard Staple 
",4,2,2.00
"Donovan Blake
",0,1,0.00
"Nasir Javed
",2,1,–
"Aaron Jones
",2,1,2.00
"Ali Khan
",3,1,3.00
"Karima Gore
",6,1,6.00
" Jasdeep Singh
",0,1,0.00
"Jaskaran Malhotra 
",0,1,0.00
"Xavier Marshall[A 4]
",11,1,11.00
"Saurabh Netravalkar
",11,1,11.00
"Monank Patel
",39,1,39.00
"Timil Patel
",50,1,–
"Steven Taylor
",0,1,0.00
"Hayden Walsh Jr.
",27,1,27.00
Keith Boyce,57,4,14.25
Maurice Foster,25,1,25.00
Roy Fredericks,311,12,25.91
