Names,Runs,Innings,Average
Nazmul Hossain,35,21,4.37
Enamul Haque Jr,12,5,3.00
Shahriar Nafees,2201,75,31.44
Syed Rasel,81,27,5.06
Shahadat Hossain,79,27,7.90
Farhad Reza,412,31,16.18
Mushfiqur Rahim,5558,191,34.95
Shakib Al Hasan,5717,186,35.73
"Mehrab Hossain, Jr.",276,16,17.25
Tamim Iqbal,6636,191,36.26
Mahmudullah,3757,151,34.15
Junaid Siddique,1196,53,23.00
Dhiman Ghosh,126,12,14.00
Mosharraf Hossain,26,5,6.50
Raqibul Hasan,1308,54,27.82
Nazimuddin,147,11,13.36
Dolar Mahmud,61,4,15.25
Naeem Islam,975,51,27.08
Imrul Kayes,2434,78,32.02
Mahbubul Alam,81,2,40.50
Rubel Hossain,123,49,4.73
Shafiul Islam,126,31,6.30
Suhrawadi Shuvo,98,10,14.00
Jahurul Islam,270,13,22.50
Nasir Hossain,1281,52,29.11
Shuvagata Hom,70,3,35.00
Elias Sunny,2,4,1.00
Abul Hasan,11,3,3.66
Anamul Haque,1038,34,30.52
Mominul Haque,557,26,22.28
Sohag Gazi,184,16,15.33
Ziaur Rahman,124,11,11.27
Robiul Islam,0,1,-
Shamsur Rahman,266,10,26.60
Al-Amin Hossain,4,7,2.00
Arafat Sunny,48,11,12.00
Mohammad Mithun,420,15,32.30
Taskin Ahmed,41,16,4.10
Sabbir Rahman,1219,54,25.93
Jubair Hossain,5,1,5.00
Soumya Sarkar,1467,43,36.67
Taijul Islam,21,2,10.50
Liton Das,584,28,21.62
Mustafizur Rahman,57,21,9.50
Mosaddek Hossain,407,22,33.91
Nurul Hasan,68,2,34.00
Subashis Roy,1,1,-
Tanbir Hayder,5,2,2.50
Mehidy Hasan Miraz,291,16,20.78
Sunzamul Islam,19,1,19.00
Mohammad Saifuddin,175,7,29.16
Abu Hider,1,1,1.00
Nazmul Hossain Shanto,20,3,6.66
Nazmul Islam,7,1,7.00
Fazle Mahmud,0,2,0.00
Ariful Haque,-,-,-
Abu Jayed,-,-,-
"Lionel Cann
","590
","26
","26.81
"
"Hasan Durham
","35
","9
","8.75
"
"Dwayne Leverock
","111
","32
","11.10
"
"Dean Minors 
","478
","20
","26.55
"
"Daniel Morgan
","2
","2
","1.00
"
"Saleem Mukuddem
","331
","20
","23.64
"
"George O'Brien
","38
","9
","5.42
"
"Azeem Pitcher
","36
","4
","9.00
"
"Irving Romaine 
","783
","35
","25.25
"
"Janeiro Tucker 
","496
","26
","19.84
"
"Kwame Tucker 
","95
","12
","9.50
"
